"","Date","1W","2W","1M","2M","3M","6M","1Y","2Y"
"108",2020-04-06,5.67831945050885,5.66849477714708,5.6550250867091,5.61441977630739,5.56179071642092,5.53944950122594,5.49283047577643,NA
"109",2020-05-06,5.38794793348099,5.39583223844739,5.32877121674005,5.0989399001464,4.90977833251999,4.70359810803709,4.53134440766498,NA
"110",2020-06-01,4.96647734524569,4.91912635609445,4.81318298144594,4.63399872367581,4.48839597957881,4.30618634333121,4.1489620547238,NA
"111",2020-07-02,4.20784098160933,4.18658090154899,4.16454661780957,4.11599872367581,4.07162325230609,4.01100452514939,3.9304620547238,NA
"112",2020-08-03,4.06766782143617,4.07160254657064,4.06913536239832,4.03742729510439,4.01675312243596,3.98894824809311,3.97117634043809,NA
"113",2020-09-01,4.06465916342751,4.07521726518536,4.07636479962776,4.05008963276672,4.03707779776063,4.01691361605848,4.02318932745107,NA
"114",2020-10-01,4.09329552706387,4.09839908336718,4.10409207235503,4.077816905494,4.05298688866972,4.04191361605848,4.03682569108744,NA
"115",2020-11-02,4.08697734524569,4.09812635609445,4.09768298144594,4.04949872367581,4.03339597957881,4.00818634333121,3.9734620547238,NA
"116",2020-12-01,4.08321647568048,4.0854741821814,4.07296559014159,4.05208568019755,4.03954815349186,4.02940373463555,4.06850553298467,NA
"117",2021-01-11,4.13747734524569,4.14779302276111,4.14018298144594,4.10666539034248,4.08722931291215,4.09418634333121,4.16012872139047,NA
"118",2021-02-01,4.11989839787727,4.13796846135761,4.13976192881436,4.12178819736002,4.11389597957881,4.158396869647,4.2554620547238,NA
"119",2021-03-01,4.18284098160933,4.21476271973081,4.28091025417321,4.32963508731218,4.37389597957881,4.55327725242211,4.82409841836016,NA
"120",2021-04-01,4.47875007251842,4.53476271973081,4.66454661780957,4.7569078145849,4.86753234321518,5.16464088878575,5.52091660017834,NA
"121",2021-05-04,4.76516155577201,4.77796846135761,4.8350250867091,4.96863030262318,5.10968545326302,5.43576529069963,5.85019889682906,NA
"122",2021-06-01,5.08576305953141,5.15398349895159,5.25627821954118,5.43028443796153,5.53865788434072,5.89371015285502,6.23260491186666,NA
"123",2021-07-01,5.59965916342751,5.68930817427627,5.88591025417321,6.01827145094854,6.19616870685154,6.54827725242211,6.79409841836016,NA
"124",2021-08-02,6.20511370888206,6.25385362882172,6.34545570871866,6.432816905494,6.51344143412427,6.68418634333121,6.83091660017835,NA
"125",2021-09-01,6.49965916342751,6.54430817427627,6.60454661780957,6.67008963276672,6.72798688866972,6.89600452514939,6.98955296381471,NA
"126",2021-10-01,6.82528686905522,6.89493587990397,7.00199250525546,7.08933205700915,7.23770550338834,7.54371015285502,7.81308110234285,NA
"127",2021-11-01,7.24747734524569,7.26762635609445,7.41618298144594,7.71499872367581,7.89439597957881,8.41318634333121,8.8429620547238,NA
"128",2021-12-01,7.86329552706387,7.95021726518536,8.12636479962775,8.24463508731218,8.42162325230609,8.84282270696757,9.09591660017834,NA
"129",2022-01-10,8.28522734524569,8.35425135609445,8.61693298144594,8.93849872367581,9.24014597957881,9.75606134333121,10.1467120547238,NA
"130",2022-02-01,9.45305629261411,9.57428425083129,10.1123935077617,10.8196829342021,11.3144222953683,12.0347126591207,12.4186199494606,NA
"131",2022-03-01,19.7846591634275,20.1347627197308,21.2922738905368,21.862816905494,22.5988959795788,23.1200954342403,23.3536438729056,NA
"132",2022-04-01,17.1976678214362,17.1944596894278,17.1191353623983,16.9626653903425,16.9181816938645,15.9679958671407,14.8259382452,NA
"133",2022-05-04,13.0509217896901,13.0500152449833,12.9576274258904,12.6965542792314,12.4488959795788,12.0697418988868,11.6910176102794,11.0631906218145
"134",2022-06-01,9.75766782143617,9.73255492752302,9.60199250525546,9.50695110462819,9.38770550338834,9.29037681952168,9.2502239594857,9.18136522498908
"135",2022-07-01,8.91481067857903,8.85588826085635,8.82865917192213,8.75076062843772,8.70389597957881,8.62085300999787,8.6202239594857,8.6604128440367
"136",2022-08-01,7.84669473655004,7.85764809522488,7.85948732927202,7.84947698454538,7.84867858827447,7.81940373463555,8.04328814168032,8.21302153968887
"137",2022-09-01,7.64602279979115,7.63203544700354,7.62318298144594,7.58963508731218,7.57207779776063,7.61554997969484,7.91000750926925,8.31177648040033
"138",2022-10-03,7.47052496429331,7.46826921323731,7.47104012430308,7.47457015224724,7.47865788434072,7.59894824809311,7.84212872139047,8.6304128440367
"139",2022-11-01,7.42719163095998,7.43112635609445,7.42818298144594,7.41933205700915,7.43199121767405,7.55085300999787,7.76927157853332,8.39231760594146
"140",2022-12-01,7.42147734524569,7.43112635609445,7.42818298144594,7.40963508731218,7.4648050704879,7.60191361605848,7.8204620547238,8.38404920767306
"141",2023-01-09,7.32559499230452,7.35465576785915,7.38818298144594,7.42835166485228,7.50566068546117,7.64712751980179,7.90016793707674,8.42747166756611
"142",2023-02-01,7.4125884563568,7.42223746720556,7.43040520366816,7.48210983478693,7.55889597957881,7.70863078777565,7.97379538805713,8.57707951070336
"143",2023-03-01,7.40965916342751,7.43158090154899,7.48045570871866,7.55599872367581,7.6198050704879,7.79782270696757,8.14318932745107,8.77814011676397
"144",2023-04-03,7.41547734524569,7.43112635609445,7.43068298144594,7.44099872367581,7.45989597957881,7.63418634333121,8.0049620547238,8.5519128440367
"145",2023-05-02,7.42147734524569,7.43112635609445,7.42818298144594,7.43799872367581,7.46189597957881,7.64218634333121,7.9799620547238,8.3579128440367
"146",2023-06-01,7.42147734524569,7.4435073084754,7.45818298144594,7.56361777129486,7.63294359862643,7.82085300999787,8.17403348329523,8.7104128440367
"147",2023-07-03,7.75481067857903,7.84588826085635,7.98675441001737,8.07790348558058,8.18199121767405,8.42561491475978,8.74784300710475,9.16184141546527
"148",2023-08-01,10.3858251713326,10.4076480952249,10.4186177640546,10.4781726367193,10.5334611969701,10.5867950389834,10.5519837938542,10.419978061428
"149",2023-09-01,12.3933821071505,12.4958882608564,12.6038972671602,12.6540939617711,12.6958007414836,12.8379958671407,12.2554620547238,11.5289842726081
"150",2023-10-02,13.0737500725184,13.1874899924581,13.4750011632641,13.7741805418576,14.0552596159425,14.5446408887858,14.6063711456329,13.4940492076731
"151",2023-11-01,14.8452868690552,14.8796977846659,14.9305639338269,14.9745701522472,15.0224674081502,15.123710152855,14.3368906261524,13.0613652249891
"152",2023-12-01,15.3776678214362,15.5211263560944,15.7238972671602,15.766474914152,15.8177055033883,15.9284720576169,14.6954620547238,13.0885080821319
"153",2024-01-09,NA,NA,NA,NA,NA,NA,NA,NA
